"","Participant","Condition","Type","Age","Sex","av_Learn_RT","av_Learn_Corr","av_NF_RT","av_NF_Corr"
"46","5d4602322f66d0001a1208c7","Early","Exception",33,"Male",0.562194444444444,0.472222222222222,0.5765625,0.5625
"47","5d4602322f66d0001a1208c7","Early","Prototype",33,"Male",0.591333333333333,0.930555555555556,0.534,1
"48","5d4602322f66d0001a1208c7","Early","RuleFollowing",33,"Male",0.584527777777778,0.805555555555556,0.5381875,0.8125
"49","5d72717ae65f070001e16d53","Early","Exception",19,"Female",0.985138888888889,0.277777777777778,0.791875,0.125
"50","5d72717ae65f070001e16d53","Early","Prototype",19,"Female",0.893582089552239,0.805970149253731,0.8461875,0.875
"51","5d72717ae65f070001e16d53","Early","RuleFollowing",19,"Female",0.984055555555556,0.611111111111111,0.734375,0.3125
"52","5d81611eb54787000140f73a","Early","Exception",32,"Male",1.05130303030303,0.333333333333333,0.8351875,0.125
"53","5d81611eb54787000140f73a","Early","Prototype",32,"Male",1.15634848484848,0.727272727272727,0.982466666666667,0.933333333333333
"54","5d81611eb54787000140f73a","Early","RuleFollowing",32,"Male",0.983903225806452,0.548387096774194,1.01826666666667,0.333333333333333
"55","5da04f6ffdc54900154c18f4","Early","Exception",27,"Female",0.847485714285714,0.457142857142857,0.55525,0.5
"56","5da04f6ffdc54900154c18f4","Early","Prototype",27,"Female",0.863028169014085,0.76056338028169,0.5545625,1
"57","5da04f6ffdc54900154c18f4","Early","RuleFollowing",27,"Female",0.790542857142857,0.685714285714286,0.5388125,0.75
"58","5dab88520d558700163716ed","Late","Exception",23,NA,0.60425,0.416666666666667,0.76125,0.4375
"59","5dab88520d558700163716ed","Late","Prototype",23,NA,0.683014084507042,0.901408450704225,0.6255,1
"60","5dab88520d558700163716ed","Late","RuleFollowing",23,NA,0.605027777777778,0.666666666666667,0.6695,0.8125
"61","5db974ac2f6766000d3fd03e","Late","Exception",31,"Male",0.886083333333333,0.472222222222222,1.055625,0.75
"62","5db974ac2f6766000d3fd03e","Late","Prototype",31,"Male",0.898957746478873,0.929577464788732,0.9233125,1
"63","5db974ac2f6766000d3fd03e","Late","RuleFollowing",31,"Male",0.947694444444444,0.527777777777778,0.948875,0.9375
"64","5dcc8459bfb31a920381996e","Late","Exception",21,"Male",0.831472222222222,0.25,0.558466666666667,0.466666666666667
"65","5dcc8459bfb31a920381996e","Late","Prototype",21,"Male",0.783375,0.902777777777778,0.6926875,0.9375
"66","5dcc8459bfb31a920381996e","Late","RuleFollowing",21,"Male",0.843833333333333,0.75,0.66125,0.625
"67","5dcdb097ce4430025111b592","Late","Exception",22,"Male",0.695222222222222,0.361111111111111,0.491875,0.625
"68","5dcdb097ce4430025111b592","Late","Prototype",22,"Male",0.751840579710145,0.956521739130435,0.5604375,1
"69","5dcdb097ce4430025111b592","Late","RuleFollowing",22,"Male",0.74630303030303,0.575757575757576,0.539,0.6875
"70","5def63ad2ae0425e87244bff","Late","Exception",27,"Male",0.845027777777778,0.472222222222222,0.7416875,0.5
"71","5def63ad2ae0425e87244bff","Late","Prototype",27,"Male",0.764461538461538,0.8,0.7186875,1
"72","5def63ad2ae0425e87244bff","Late","RuleFollowing",27,"Male",0.747515151515151,0.424242424242424,0.6941875,0.6875
"73","5e10b8aa67f17079770dc73f","Early","Exception",20,"Male",0.72725,0.4375,0.59525,0.5625
"74","5e10b8aa67f17079770dc73f","Early","Prototype",20,"Male",0.692174603174603,0.682539682539683,0.6585,0.9375
"75","5e10b8aa67f17079770dc73f","Early","RuleFollowing",20,"Male",0.741,0.517241379310345,0.6022,0.8
"76","5e15559418e869b51cbe4246","Early","Exception",30,"Female",0.755857142857143,0.171428571428571,0.60575,0.4375
"77","5e15559418e869b51cbe4246","Early","Prototype",30,"Female",0.767225352112676,0.830985915492958,0.6918125,0.5625
"78","5e15559418e869b51cbe4246","Early","RuleFollowing",30,"Female",0.787171428571429,0.514285714285714,0.7319375,0.5
"79","5e15e7a61d4607bd245169d9","Late","Exception",26,"Male",0.666352941176471,0.176470588235294,0.5663125,0.4375
"80","5e15e7a61d4607bd245169d9","Late","Prototype",26,"Male",0.699605633802817,0.859154929577465,0.5696875,1
"81","5e15e7a61d4607bd245169d9","Late","RuleFollowing",26,"Male",0.695777777777778,0.527777777777778,0.619125,0.625
"82","5e1897e94962671632a70c3e","Early","Exception",23,"Male",0.573305555555556,0.416666666666667,0.5111875,0.5
"83","5e1897e94962671632a70c3e","Early","Prototype",23,"Male",0.557527777777778,1,0.493875,0.9375
"84","5e1897e94962671632a70c3e","Early","RuleFollowing",23,"Male",0.628527777777778,0.777777777777778,0.447125,0.6875
"85","5e370958fbc3bf68f59c8998","Early","Exception",28,"Female",1.2354375,0.53125,0.915933333333333,0.533333333333333
"86","5e370958fbc3bf68f59c8998","Early","Prototype",28,"Female",1.22273333333333,0.866666666666667,0.914375,1
"87","5e370958fbc3bf68f59c8998","Early","RuleFollowing",28,"Female",1.1191724137931,0.724137931034483,1.07206666666667,0.6
"88","5e4d7cc649ce3604356ac4d5","Late","Exception",20,"Male",0.818361111111111,0.361111111111111,0.65675,0.25
"89","5e4d7cc649ce3604356ac4d5","Late","Prototype",20,"Male",0.820222222222222,0.916666666666667,0.6595,1
"90","5e4d7cc649ce3604356ac4d5","Late","RuleFollowing",20,"Male",0.841027777777778,0.527777777777778,0.7651875,0.6875
"91","5e5256fd2d48ca25d9ee7576","Early","Exception",29,"Male",0.995638888888889,0.472222222222222,1.125375,0.25
"92","5e5256fd2d48ca25d9ee7576","Early","Prototype",29,"Male",0.900380281690141,0.788732394366197,0.758875,1
"93","5e5256fd2d48ca25d9ee7576","Early","RuleFollowing",29,"Male",0.954171428571429,0.6,0.886625,0.625
"94","5e76ca9681ea06243ff82c46","Late","Exception",27,"Male",0.551966666666667,0.8,0.5009375,0.625
"95","5e76ca9681ea06243ff82c46","Late","Prototype",27,"Male",0.611769230769231,0.507692307692308,0.690625,0.6875
"96","5e76ca9681ea06243ff82c46","Late","RuleFollowing",27,"Male",0.752055555555556,0.5,0.5506875,0.625
"97","5e79197339dc940a613b384d","Late","Exception",21,"Male",0.868029411764706,0.588235294117647,0.9831875,0.6875
"98","5e79197339dc940a613b384d","Late","Prototype",21,"Male",0.797086956521739,0.768115942028985,0.87125,1
"99","5e79197339dc940a613b384d","Late","RuleFollowing",21,"Male",0.600314285714286,0.542857142857143,0.9552,0.8
